Fra;Til;KWH 60 Forbruk;Kvalitet
01.08.2022 00:00;01.08.2022 01:00;1,64;Avlest
01.08.2022 01:00;01.08.2022 02:00;0,08;Avlest
01.08.2022 02:00;01.08.2022 03:00;0,09;Avlest
01.08.2022 03:00;01.08.2022 04:00;0,06;Avlest
01.08.2022 04:00;01.08.2022 05:00;0,63;Avlest
01.08.2022 05:00;01.08.2022 06:00;0,26;Avlest
01.08.2022 06:00;01.08.2022 07:00;0,08;Avlest
01.08.2022 07:00;01.08.2022 08:00;0,06;Avlest
01.08.2022 08:00;01.08.2022 09:00;0,08;Avlest
01.08.2022 09:00;01.08.2022 10:00;0,06;Avlest
01.08.2022 10:00;01.08.2022 11:00;1,12;Avlest
01.08.2022 11:00;01.08.2022 12:00;0,69;Avlest
01.08.2022 12:00;01.08.2022 13:00;0,73;Avlest
01.08.2022 13:00;01.08.2022 14:00;0,84;Avlest
01.08.2022 14:00;01.08.2022 15:00;0,07;Avlest
01.08.2022 15:00;01.08.2022 16:00;0,06;Avlest
01.08.2022 16:00;01.08.2022 17:00;0,08;Avlest
01.08.2022 17:00;01.08.2022 18:00;1,13;Avlest
01.08.2022 18:00;01.08.2022 19:00;0,36;Avlest
01.08.2022 19:00;01.08.2022 20:00;0,08;Avlest
01.08.2022 20:00;01.08.2022 21:00;0,24;Avlest
01.08.2022 21:00;01.08.2022 22:00;1,61;Avlest
01.08.2022 22:00;01.08.2022 23:00;0,21;Avlest
01.08.2022 23:00;02.08.2022 00:00;1,01;Avlest
02.08.2022 00:00;02.08.2022 01:00;2,11;Avlest
02.08.2022 01:00;02.08.2022 02:00;2,01;Avlest
02.08.2022 02:00;02.08.2022 03:00;0,07;Avlest
02.08.2022 03:00;02.08.2022 04:00;0,07;Avlest
02.08.2022 04:00;02.08.2022 05:00;0,07;Avlest
02.08.2022 05:00;02.08.2022 06:00;0,06;Avlest
02.08.2022 06:00;02.08.2022 07:00;0,85;Avlest
02.08.2022 07:00;02.08.2022 08:00;0,07;Avlest
02.08.2022 08:00;02.08.2022 09:00;0,06;Avlest
02.08.2022 09:00;02.08.2022 10:00;0,19;Avlest
02.08.2022 10:00;02.08.2022 11:00;0,69;Avlest
02.08.2022 11:00;02.08.2022 12:00;0,85;Avlest
02.08.2022 12:00;02.08.2022 13:00;1,72;Avlest
02.08.2022 13:00;02.08.2022 14:00;0,7;Avlest
02.08.2022 14:00;02.08.2022 15:00;0,11;Avlest
02.08.2022 15:00;02.08.2022 16:00;0,61;Avlest
02.08.2022 16:00;02.08.2022 17:00;0,47;Avlest
02.08.2022 17:00;02.08.2022 18:00;0,09;Avlest
02.08.2022 18:00;02.08.2022 19:00;0,63;Avlest
02.08.2022 19:00;02.08.2022 20:00;2,11;Avlest
02.08.2022 20:00;02.08.2022 21:00;1,34;Avlest
02.08.2022 21:00;02.08.2022 22:00;2,2;Avlest
02.08.2022 22:00;02.08.2022 23:00;0,44;Avlest
02.08.2022 23:00;03.08.2022 00:00;1,28;Avlest
03.08.2022 00:00;03.08.2022 01:00;1,07;Avlest
03.08.2022 01:00;03.08.2022 02:00;0,07;Avlest
03.08.2022 02:00;03.08.2022 03:00;0,07;Avlest
03.08.2022 03:00;03.08.2022 04:00;0,41;Avlest
03.08.2022 04:00;03.08.2022 05:00;0,59;Avlest
