Fra;Til;KWH 60 Forbruk;Kvalitet
01.03.2023 00:00;01.03.2023 01:00;0,688;Avlest
01.03.2023 01:00;01.03.2023 02:00;0,683;Avlest
01.03.2023 02:00;01.03.2023 03:00;1,138;Avlest
01.03.2023 03:00;01.03.2023 04:00;0,707;Avlest
01.03.2023 04:00;01.03.2023 05:00;0,655;Avlest
01.03.2023 05:00;01.03.2023 06:00;0,68;Avlest
01.03.2023 06:00;01.03.2023 07:00;0,668;Avlest
01.03.2023 07:00;01.03.2023 08:00;0,733;Avlest
01.03.2023 08:00;01.03.2023 09:00;0,697;Avlest
01.03.2023 09:00;01.03.2023 10:00;0,78;Avlest
01.03.2023 10:00;01.03.2023 11:00;0,756;Avlest
01.03.2023 11:00;01.03.2023 12:00;0,739;Avlest
01.03.2023 12:00;01.03.2023 13:00;1,148;Avlest
01.03.2023 13:00;01.03.2023 14:00;0,732;Avlest
01.03.2023 14:00;01.03.2023 15:00;0,564;Avlest
01.03.2023 15:00;01.03.2023 16:00;0,412;Avlest
01.03.2023 16:00;01.03.2023 17:00;0,439;Avlest
01.03.2023 17:00;01.03.2023 18:00;0,534;Avlest
01.03.2023 18:00;01.03.2023 19:00;0,606;Avlest
01.03.2023 19:00;01.03.2023 20:00;0,668;Avlest
01.03.2023 20:00;01.03.2023 21:00;0,657;Avlest
01.03.2023 21:00;01.03.2023 22:00;1,099;Avlest
01.03.2023 22:00;01.03.2023 23:00;0,674;Avlest
01.03.2023 23:00;02.03.2023 00:00;0,653;Avlest
02.03.2023 00:00;02.03.2023 01:00;0,673;Avlest
02.03.2023 01:00;02.03.2023 02:00;0,73;Avlest
02.03.2023 02:00;02.03.2023 03:00;0,704;Avlest
02.03.2023 03:00;02.03.2023 04:00;0,62;Avlest
02.03.2023 04:00;02.03.2023 05:00;0,645;Avlest
02.03.2023 05:00;02.03.2023 06:00;0,716;Avlest
02.03.2023 06:00;02.03.2023 07:00;1,149;Avlest
02.03.2023 07:00;02.03.2023 08:00;0,692;Avlest
02.03.2023 08:00;02.03.2023 09:00;0,719;Avlest
02.03.2023 09:00;02.03.2023 10:00;0,721;Avlest
02.03.2023 10:00;02.03.2023 11:00;0,69;Avlest
02.03.2023 11:00;02.03.2023 12:00;0,724;Avlest
02.03.2023 12:00;02.03.2023 13:00;0,734;Avlest
02.03.2023 13:00;02.03.2023 14:00;0,683;Avlest
02.03.2023 14:00;02.03.2023 15:00;0,577;Avlest
02.03.2023 15:00;02.03.2023 16:00;0,442;Avlest
02.03.2023 16:00;02.03.2023 17:00;0,797;Avlest
02.03.2023 17:00;02.03.2023 18:00;0,487;Avlest
02.03.2023 18:00;02.03.2023 19:00;0,656;Avlest
02.03.2023 19:00;02.03.2023 20:00;0,719;Avlest
02.03.2023 20:00;02.03.2023 21:00;0,7;Avlest
02.03.2023 21:00;02.03.2023 22:00;0,661;Avlest
02.03.2023 22:00;02.03.2023 23:00;0,646;Avlest
02.03.2023 23:00;03.03.2023 00:00;0,651;Avlest
03.03.2023 00:00;03.03.2023 01:00;1,066;Avlest
03.03.2023 01:00;03.03.2023 02:00;0,653;Avlest
03.03.2023 02:00;03.03.2023 03:00;0,611;Avlest
03.03.2023 03:00;03.03.2023 04:00;0,643;Avlest
03.03.2023 04:00;03.03.2023 05:00;0,6;Avlest
03.03.2023 05:00;03.03.2023 06:00;0,601;Avlest
03.03.2023 06:00;03.03.2023 07:00;0,659;Avlest
03.03.2023 07:00;03.03.2023 08:00;0,695;Avlest
03.03.2023 08:00;03.03.2023 09:00;0,694;Avlest
03.03.2023 09:00;03.03.2023 10:00;1,196;Avlest
03.03.2023 10:00;03.03.2023 11:00;0,683;Avlest
03.03.2023 11:00;03.03.2023 12:00;0,683;Avlest
03.03.2023 12:00;03.03.2023 13:00;0,718;Avlest
03.03.2023 13:00;03.03.2023 14:00;0,728;Avlest
03.03.2023 14:00;03.03.2023 15:00;0,682;Avlest
03.03.2023 15:00;03.03.2023 16:00;0,715;Avlest
03.03.2023 16:00;03.03.2023 17:00;0,741;Avlest
03.03.2023 17:00;03.03.2023 18:00;0,737;Avlest
03.03.2023 18:00;03.03.2023 19:00;1,259;Avlest
03.03.2023 19:00;03.03.2023 20:00;0,807;Avlest
03.03.2023 20:00;03.03.2023 21:00;0,769;Avlest
03.03.2023 21:00;03.03.2023 22:00;0,664;Avlest
03.03.2023 22:00;03.03.2023 23:00;0,648;Avlest
03.03.2023 23:00;04.03.2023 00:00;0,681;Avlest
04.03.2023 00:00;04.03.2023 01:00;0,687;Avlest
04.03.2023 01:00;04.03.2023 02:00;0,724;Avlest
04.03.2023 02:00;04.03.2023 03:00;1,077;Avlest
04.03.2023 03:00;04.03.2023 04:00;0,615;Avlest
04.03.2023 04:00;04.03.2023 05:00;0,619;Avlest
04.03.2023 05:00;04.03.2023 06:00;0,633;Avlest
04.03.2023 06:00;04.03.2023 07:00;0,649;Avlest
04.03.2023 07:00;04.03.2023 08:00;0,622;Avlest
04.03.2023 08:00;04.03.2023 09:00;0,681;Avlest
04.03.2023 09:00;04.03.2023 10:00;0,673;Avlest
04.03.2023 10:00;04.03.2023 11:00;0,737;Avlest
04.03.2023 11:00;04.03.2023 12:00;1,268;Avlest
04.03.2023 12:00;04.03.2023 13:00;0,8;Avlest
04.03.2023 13:00;04.03.2023 14:00;0,767;Avlest
04.03.2023 14:00;04.03.2023 15:00;0,625;Avlest
04.03.2023 15:00;04.03.2023 16:00;0,655;Avlest
04.03.2023 16:00;04.03.2023 17:00;0,658;Avlest
04.03.2023 17:00;04.03.2023 18:00;1,041;Avlest
04.03.2023 18:00;04.03.2023 19:00;0,674;Avlest
04.03.2023 19:00;04.03.2023 20:00;0,708;Avlest
04.03.2023 20:00;04.03.2023 21:00;0,699;Avlest
04.03.2023 21:00;04.03.2023 22:00;0,747;Avlest
04.03.2023 22:00;04.03.2023 23:00;0,698;Avlest
04.03.2023 23:00;05.03.2023 00:00;0,733;Avlest
05.03.2023 00:00;05.03.2023 01:00;1,129;Avlest
05.03.2023 01:00;05.03.2023 02:00;0,777;Avlest
05.03.2023 02:00;05.03.2023 03:00;0,721;Avlest
05.03.2023 03:00;05.03.2023 04:00;0,734;Avlest
05.03.2023 04:00;05.03.2023 05:00;0,768;Avlest
05.03.2023 05:00;05.03.2023 06:00;0,754;Avlest
05.03.2023 06:00;05.03.2023 07:00;0,679;Avlest
05.03.2023 07:00;05.03.2023 08:00;0,762;Avlest
05.03.2023 08:00;05.03.2023 09:00;1,19;Avlest
05.03.2023 09:00;05.03.2023 10:00;0,769;Avlest
05.03.2023 10:00;05.03.2023 11:00;0,924;Avlest
05.03.2023 11:00;05.03.2023 12:00;0,864;Avlest
05.03.2023 12:00;05.03.2023 13:00;0,902;Avlest
05.03.2023 13:00;05.03.2023 14:00;0,797;Avlest
05.03.2023 14:00;05.03.2023 15:00;0,72;Avlest
05.03.2023 15:00;05.03.2023 16:00;0,474;Avlest
05.03.2023 16:00;05.03.2023 17:00;0,376;Avlest
05.03.2023 17:00;05.03.2023 18:00;0,977;Avlest
05.03.2023 18:00;05.03.2023 19:00;0,524;Avlest
05.03.2023 19:00;05.03.2023 20:00;1,741;Avlest
05.03.2023 20:00;05.03.2023 21:00;2,363;Avlest
05.03.2023 21:00;05.03.2023 22:00;0,627;Avlest
05.03.2023 22:00;05.03.2023 23:00;0,612;Avlest
05.03.2023 23:00;06.03.2023 00:00;0,645;Avlest
06.03.2023 00:00;06.03.2023 01:00;1,097;Avlest
06.03.2023 01:00;06.03.2023 02:00;0,714;Avlest
06.03.2023 02:00;06.03.2023 03:00;0,684;Avlest
06.03.2023 03:00;06.03.2023 04:00;0,751;Avlest
06.03.2023 04:00;06.03.2023 05:00;0,709;Avlest
06.03.2023 05:00;06.03.2023 06:00;1,084;Avlest
06.03.2023 06:00;06.03.2023 07:00;0,723;Avlest
06.03.2023 07:00;06.03.2023 08:00;0,765;Avlest
06.03.2023 08:00;06.03.2023 09:00;0,774;Avlest
06.03.2023 09:00;06.03.2023 10:00;0,796;Avlest
06.03.2023 10:00;06.03.2023 11:00;1,184;Avlest
06.03.2023 11:00;06.03.2023 12:00;0,814;Avlest
06.03.2023 12:00;06.03.2023 13:00;0,725;Avlest
06.03.2023 13:00;06.03.2023 14:00;0,744;Avlest
06.03.2023 14:00;06.03.2023 15:00;0,671;Avlest
06.03.2023 15:00;06.03.2023 16:00;0,474;Avlest
06.03.2023 16:00;06.03.2023 17:00;0,385;Avlest
06.03.2023 17:00;06.03.2023 18:00;0,915;Avlest
06.03.2023 18:00;06.03.2023 19:00;0,621;Avlest
06.03.2023 19:00;06.03.2023 20:00;0,681;Avlest
06.03.2023 20:00;06.03.2023 21:00;0,748;Avlest
06.03.2023 21:00;06.03.2023 22:00;0,681;Avlest
06.03.2023 22:00;06.03.2023 23:00;0,672;Avlest
06.03.2023 23:00;07.03.2023 00:00;0,701;Avlest
07.03.2023 00:00;07.03.2023 01:00;1,102;Avlest
07.03.2023 01:00;07.03.2023 02:00;0,768;Avlest
07.03.2023 02:00;07.03.2023 03:00;0,74;Avlest
07.03.2023 03:00;07.03.2023 04:00;0,734;Avlest
07.03.2023 04:00;07.03.2023 05:00;0,765;Avlest
07.03.2023 05:00;07.03.2023 06:00;0,751;Avlest
07.03.2023 06:00;07.03.2023 07:00;0,761;Avlest
07.03.2023 07:00;07.03.2023 08:00;0,871;Avlest
07.03.2023 08:00;07.03.2023 09:00;0,801;Avlest
07.03.2023 09:00;07.03.2023 10:00;1,291;Avlest
07.03.2023 10:00;07.03.2023 11:00;0,907;Avlest
