Fra;Til;KWH 60 Forbruk;Kvalitet
01.08.2023 00:00;01.08.2023 01:00;0,094;Avlest
01.08.2023 01:00;01.08.2023 02:00;0,076;Avlest
01.08.2023 02:00;01.08.2023 03:00;0,074;Avlest
01.08.2023 03:00;01.08.2023 04:00;0,091;Avlest
01.08.2023 04:00;01.08.2023 05:00;0,084;Avlest
01.08.2023 05:00;01.08.2023 06:00;0,333;Avlest
01.08.2023 06:00;01.08.2023 07:00;0,235;Avlest
01.08.2023 07:00;01.08.2023 08:00;0,089;Avlest
01.08.2023 08:00;01.08.2023 09:00;0,071;Avlest
01.08.2023 09:00;01.08.2023 10:00;0,07;Avlest
01.08.2023 10:00;01.08.2023 11:00;0,09;Avlest
01.08.2023 11:00;01.08.2023 12:00;0,081;Avlest
01.08.2023 12:00;01.08.2023 13:00;0,071;Avlest
01.08.2023 13:00;01.08.2023 14:00;0,076;Avlest
01.08.2023 14:00;01.08.2023 15:00;0,09;Avlest
01.08.2023 15:00;01.08.2023 16:00;0,488;Avlest
01.08.2023 16:00;01.08.2023 17:00;0,07;Avlest
01.08.2023 17:00;01.08.2023 18:00;0,299;Avlest
01.08.2023 18:00;01.08.2023 19:00;0,127;Avlest
01.08.2023 19:00;01.08.2023 20:00;0,159;Avlest
01.08.2023 20:00;01.08.2023 21:00;0,136;Avlest
01.08.2023 21:00;01.08.2023 22:00;0,124;Avlest
01.08.2023 22:00;01.08.2023 23:00;0,099;Avlest
01.08.2023 23:00;02.08.2023 00:00;0,141;Avlest
02.08.2023 00:00;02.08.2023 01:00;0,434;Avlest
02.08.2023 01:00;02.08.2023 02:00;0,072;Avlest
02.08.2023 02:00;02.08.2023 03:00;0,077;Avlest
02.08.2023 03:00;02.08.2023 04:00;0,091;Avlest
02.08.2023 04:00;02.08.2023 05:00;0,074;Avlest
02.08.2023 05:00;02.08.2023 06:00;0,07;Avlest
02.08.2023 06:00;02.08.2023 07:00;0,095;Avlest
02.08.2023 07:00;02.08.2023 08:00;0,146;Avlest
02.08.2023 08:00;02.08.2023 09:00;0,095;Avlest
02.08.2023 09:00;02.08.2023 10:00;0,501;Avlest
02.08.2023 10:00;02.08.2023 11:00;0,071;Avlest
02.08.2023 11:00;02.08.2023 12:00;0,078;Avlest
02.08.2023 12:00;02.08.2023 13:00;0,09;Avlest
02.08.2023 13:00;02.08.2023 14:00;0,072;Avlest
02.08.2023 14:00;02.08.2023 15:00;0,07;Avlest
02.08.2023 15:00;02.08.2023 16:00;0,089;Avlest
02.08.2023 16:00;02.08.2023 17:00;0,08;Avlest
02.08.2023 17:00;02.08.2023 18:00;0,071;Avlest
02.08.2023 18:00;02.08.2023 19:00;0,138;Avlest
02.08.2023 19:00;02.08.2023 20:00;0,572;Avlest
02.08.2023 20:00;02.08.2023 21:00;0,153;Avlest
02.08.2023 21:00;02.08.2023 22:00;0,199;Avlest
02.08.2023 22:00;02.08.2023 23:00;0,49;Avlest
02.08.2023 23:00;03.08.2023 00:00;0,076;Avlest
03.08.2023 00:00;03.08.2023 01:00;0,427;Avlest
03.08.2023 01:00;03.08.2023 02:00;0,09;Avlest
03.08.2023 02:00;03.08.2023 03:00;0,071;Avlest
03.08.2023 03:00;03.08.2023 04:00;0,074;Avlest
03.08.2023 04:00;03.08.2023 05:00;0,091;Avlest
03.08.2023 05:00;03.08.2023 06:00;0,408;Avlest
03.08.2023 06:00;03.08.2023 07:00;0,082;Avlest
03.08.2023 07:00;03.08.2023 08:00;0,086;Avlest
03.08.2023 08:00;03.08.2023 09:00;0,083;Avlest
03.08.2023 09:00;03.08.2023 10:00;0,071;Avlest
03.08.2023 10:00;03.08.2023 11:00;0,075;Avlest
03.08.2023 11:00;03.08.2023 12:00;0,454;Avlest
03.08.2023 12:00;03.08.2023 13:00;0,073;Avlest
03.08.2023 13:00;03.08.2023 14:00;0,07;Avlest
03.08.2023 14:00;03.08.2023 15:00;0,088;Avlest
03.08.2023 15:00;03.08.2023 16:00;0,082;Avlest
03.08.2023 16:00;03.08.2023 17:00;0,07;Avlest
03.08.2023 17:00;03.08.2023 18:00;0,202;Avlest
03.08.2023 18:00;03.08.2023 19:00;0,817;Avlest
03.08.2023 19:00;03.08.2023 20:00;0,414;Avlest
03.08.2023 20:00;03.08.2023 21:00;0,425;Avlest
03.08.2023 21:00;03.08.2023 22:00;0,362;Avlest
03.08.2023 22:00;03.08.2023 23:00;0,198;Avlest
03.08.2023 23:00;04.08.2023 00:00;0,17;Avlest
04.08.2023 00:00;04.08.2023 01:00;0,175;Avlest
04.08.2023 01:00;04.08.2023 02:00;0,179;Avlest
04.08.2023 02:00;04.08.2023 03:00;0,537;Avlest
04.08.2023 03:00;04.08.2023 04:00;0,191;Avlest
04.08.2023 04:00;04.08.2023 05:00;0,235;Avlest
04.08.2023 05:00;04.08.2023 06:00;0,193;Avlest
04.08.2023 06:00;04.08.2023 07:00;1,45;Avlest
04.08.2023 07:00;04.08.2023 08:00;0,165;Avlest
04.08.2023 08:00;04.08.2023 09:00;0,086;Avlest
04.08.2023 09:00;04.08.2023 10:00;0,22;Avlest
04.08.2023 10:00;04.08.2023 11:00;0,272;Avlest
04.08.2023 11:00;04.08.2023 12:00;0,09;Avlest
04.08.2023 12:00;04.08.2023 13:00;0,077;Avlest
04.08.2023 13:00;04.08.2023 14:00;0,071;Avlest
04.08.2023 14:00;04.08.2023 15:00;0,415;Avlest
04.08.2023 15:00;04.08.2023 16:00;0,086;Avlest
