Fra;Til;KWH 60 Forbruk;Kvalitet
01.04.2023 00:00;01.04.2023 01:00;0,7;Avlest
01.04.2023 01:00;01.04.2023 02:00;0,74;Avlest
01.04.2023 02:00;01.04.2023 03:00;0,755;Avlest
01.04.2023 03:00;01.04.2023 04:00;0,704;Avlest
01.04.2023 04:00;01.04.2023 05:00;0,725;Avlest
01.04.2023 05:00;01.04.2023 06:00;0,762;Avlest
01.04.2023 06:00;01.04.2023 07:00;0,793;Avlest
01.04.2023 07:00;01.04.2023 08:00;1,209;Avlest
01.04.2023 08:00;01.04.2023 09:00;0,735;Avlest
01.04.2023 09:00;01.04.2023 10:00;0,829;Avlest
01.04.2023 10:00;01.04.2023 11:00;1,045;Avlest
01.04.2023 11:00;01.04.2023 12:00;0,96;Avlest
01.04.2023 12:00;01.04.2023 13:00;0,788;Avlest
01.04.2023 13:00;01.04.2023 14:00;0,892;Avlest
01.04.2023 14:00;01.04.2023 15:00;0,67;Avlest
01.04.2023 15:00;01.04.2023 16:00;1,017;Avlest
01.04.2023 16:00;01.04.2023 17:00;0,696;Avlest
01.04.2023 17:00;01.04.2023 18:00;0,527;Avlest
01.04.2023 18:00;01.04.2023 19:00;0,478;Avlest
01.04.2023 19:00;01.04.2023 20:00;0,589;Avlest
01.04.2023 20:00;01.04.2023 21:00;0,819;Avlest
01.04.2023 21:00;01.04.2023 22:00;0,631;Avlest
01.04.2023 22:00;01.04.2023 23:00;0,632;Avlest
01.04.2023 23:00;02.04.2023 00:00;0,656;Avlest
02.04.2023 00:00;02.04.2023 01:00;0,85;Avlest
02.04.2023 01:00;02.04.2023 02:00;0,908;Avlest
02.04.2023 02:00;02.04.2023 03:00;0,707;Avlest
02.04.2023 03:00;02.04.2023 04:00;0,703;Avlest
02.04.2023 04:00;02.04.2023 05:00;0,764;Avlest
02.04.2023 05:00;02.04.2023 06:00;0,75;Avlest
02.04.2023 06:00;02.04.2023 07:00;0,736;Avlest
02.04.2023 07:00;02.04.2023 08:00;0,888;Avlest
02.04.2023 08:00;02.04.2023 09:00;0,936;Avlest
02.04.2023 09:00;02.04.2023 10:00;0,713;Avlest
