Fra;Til;KWH 60 Forbruk;Kvalitet
01.02.2024 00:00;01.02.2024 01:00;1,294;Avlest
01.02.2024 01:00;01.02.2024 02:00;0,966;Avlest
01.02.2024 02:00;01.02.2024 03:00;0,816;Avlest
01.02.2024 03:00;01.02.2024 04:00;0,912;Avlest
01.02.2024 04:00;01.02.2024 05:00;0,874;Avlest
01.02.2024 05:00;01.02.2024 06:00;0,839;Avlest
01.02.2024 06:00;01.02.2024 07:00;0,89;Avlest
01.02.2024 07:00;01.02.2024 08:00;0,967;Avlest
01.02.2024 08:00;01.02.2024 09:00;1,071;Avlest
01.02.2024 09:00;01.02.2024 10:00;1,044;Avlest
01.02.2024 10:00;01.02.2024 11:00;0,883;Avlest
01.02.2024 11:00;01.02.2024 12:00;0,919;Avlest
01.02.2024 12:00;01.02.2024 13:00;0,862;Avlest
01.02.2024 13:00;01.02.2024 14:00;0,89;Avlest
01.02.2024 14:00;01.02.2024 15:00;0,812;Avlest
01.02.2024 15:00;01.02.2024 16:00;0,601;Avlest
01.02.2024 16:00;01.02.2024 17:00;0,75;Avlest
01.02.2024 17:00;01.02.2024 18:00;1,57;Avlest
01.02.2024 18:00;01.02.2024 19:00;0,991;Avlest
01.02.2024 19:00;01.02.2024 20:00;0,916;Avlest
01.02.2024 20:00;01.02.2024 21:00;0,931;Avlest
01.02.2024 21:00;01.02.2024 22:00;0,81;Avlest
01.02.2024 22:00;01.02.2024 23:00;0,803;Avlest
01.02.2024 23:00;02.02.2024 00:00;1,177;Avlest
02.02.2024 00:00;02.02.2024 01:00;0,835;Avlest
02.02.2024 01:00;02.02.2024 02:00;0,772;Avlest
02.02.2024 02:00;02.02.2024 03:00;0,818;Avlest
02.02.2024 03:00;02.02.2024 04:00;0,787;Avlest
02.02.2024 04:00;02.02.2024 05:00;0,725;Avlest
02.02.2024 05:00;02.02.2024 06:00;0,872;Avlest
02.02.2024 06:00;02.02.2024 07:00;1,182;Avlest
02.02.2024 07:00;02.02.2024 08:00;0,914;Avlest
02.02.2024 08:00;02.02.2024 09:00;0,965;Avlest
02.02.2024 09:00;02.02.2024 10:00;0,885;Avlest
02.02.2024 10:00;02.02.2024 11:00;0,861;Avlest
02.02.2024 11:00;02.02.2024 12:00;0,862;Avlest
02.02.2024 12:00;02.02.2024 13:00;0,845;Avlest
02.02.2024 13:00;02.02.2024 14:00;0,935;Avlest
02.02.2024 14:00;02.02.2024 15:00;1,293;Avlest
02.02.2024 15:00;02.02.2024 16:00;0,8;Avlest
02.02.2024 16:00;02.02.2024 17:00;0,763;Avlest
02.02.2024 17:00;02.02.2024 18:00;0,824;Avlest
02.02.2024 18:00;02.02.2024 19:00;0,873;Avlest
02.02.2024 19:00;02.02.2024 20:00;0,914;Avlest
02.02.2024 20:00;02.02.2024 21:00;0,855;Avlest
02.02.2024 21:00;02.02.2024 22:00;0,878;Avlest
02.02.2024 22:00;02.02.2024 23:00;1,302;Avlest
02.02.2024 23:00;03.02.2024 00:00;0,884;Avlest
03.02.2024 00:00;03.02.2024 01:00;0,807;Avlest
03.02.2024 01:00;03.02.2024 02:00;0,9;Avlest
03.02.2024 02:00;03.02.2024 03:00;0,828;Avlest
03.02.2024 03:00;03.02.2024 04:00;0,835;Avlest
03.02.2024 04:00;03.02.2024 05:00;0,799;Avlest
03.02.2024 05:00;03.02.2024 06:00;1,039;Avlest
03.02.2024 06:00;03.02.2024 07:00;1,166;Avlest
03.02.2024 07:00;03.02.2024 08:00;1,061;Avlest
03.02.2024 08:00;03.02.2024 09:00;0,831;Avlest
03.02.2024 09:00;03.02.2024 10:00;1,018;Avlest
03.02.2024 10:00;03.02.2024 11:00;0,983;Avlest
03.02.2024 11:00;03.02.2024 12:00;0,874;Avlest
03.02.2024 12:00;03.02.2024 13:00;0,798;Avlest
03.02.2024 13:00;03.02.2024 14:00;0,831;Avlest
03.02.2024 14:00;03.02.2024 15:00;0,697;Avlest
03.02.2024 15:00;03.02.2024 16:00;1,166;Avlest
03.02.2024 16:00;03.02.2024 17:00;0,748;Avlest
03.02.2024 17:00;03.02.2024 18:00;0,747;Avlest
03.02.2024 18:00;03.02.2024 19:00;0,763;Avlest
03.02.2024 19:00;03.02.2024 20:00;0,78;Avlest
03.02.2024 20:00;03.02.2024 21:00;0,763;Avlest
03.02.2024 21:00;03.02.2024 22:00;0,727;Avlest
03.02.2024 22:00;03.02.2024 23:00;1,164;Avlest
03.02.2024 23:00;04.02.2024 00:00;0,906;Avlest
04.02.2024 00:00;04.02.2024 01:00;0,823;Avlest
04.02.2024 01:00;04.02.2024 02:00;0,795;Avlest
04.02.2024 02:00;04.02.2024 03:00;0,723;Avlest
04.02.2024 03:00;04.02.2024 04:00;0,799;Avlest
04.02.2024 04:00;04.02.2024 05:00;0,713;Avlest
04.02.2024 05:00;04.02.2024 06:00;0,769;Avlest
04.02.2024 06:00;04.02.2024 07:00;0,725;Avlest
04.02.2024 07:00;04.02.2024 08:00;1,173;Avlest
04.02.2024 08:00;04.02.2024 09:00;0,919;Avlest
04.02.2024 09:00;04.02.2024 10:00;2,493;Avlest
04.02.2024 10:00;04.02.2024 11:00;1,626;Avlest
04.02.2024 11:00;04.02.2024 12:00;1,434;Avlest
04.02.2024 12:00;04.02.2024 13:00;1,034;Avlest
04.02.2024 13:00;04.02.2024 14:00;0,666;Avlest
04.02.2024 14:00;04.02.2024 15:00;0,965;Avlest
04.02.2024 15:00;04.02.2024 16:00;0,661;Avlest
04.02.2024 16:00;04.02.2024 17:00;0,632;Avlest
04.02.2024 17:00;04.02.2024 18:00;0,613;Avlest
04.02.2024 18:00;04.02.2024 19:00;0,746;Avlest
04.02.2024 19:00;04.02.2024 20:00;1,068;Avlest
04.02.2024 20:00;04.02.2024 21:00;1,385;Avlest
04.02.2024 21:00;04.02.2024 22:00;2,344;Avlest
04.02.2024 22:00;04.02.2024 23:00;0,79;Avlest
04.02.2024 23:00;05.02.2024 00:00;0,701;Avlest
05.02.2024 00:00;05.02.2024 01:00;0,706;Avlest
05.02.2024 01:00;05.02.2024 02:00;1,033;Avlest
05.02.2024 02:00;05.02.2024 03:00;0,792;Avlest
