Fra;Til;KWH 60 Forbruk;Kvalitet
01.07.2024 00:00;01.07.2024 01:00;0,095;Avlest
01.07.2024 01:00;01.07.2024 02:00;0,419;Avlest
01.07.2024 02:00;01.07.2024 03:00;0,074;Avlest
01.07.2024 03:00;01.07.2024 04:00;0,085;Avlest
01.07.2024 04:00;01.07.2024 05:00;0,092;Avlest
01.07.2024 05:00;01.07.2024 06:00;0,075;Avlest
01.07.2024 06:00;01.07.2024 07:00;0,418;Avlest
01.07.2024 07:00;01.07.2024 08:00;0,083;Avlest
01.07.2024 08:00;01.07.2024 09:00;0,09;Avlest
01.07.2024 09:00;01.07.2024 10:00;0,076;Avlest
01.07.2024 10:00;01.07.2024 11:00;0,073;Avlest
01.07.2024 11:00;01.07.2024 12:00;0,404;Avlest
01.07.2024 12:00;01.07.2024 13:00;0,091;Avlest
01.07.2024 13:00;01.07.2024 14:00;0,075;Avlest
01.07.2024 14:00;01.07.2024 15:00;0,074;Avlest
01.07.2024 15:00;01.07.2024 16:00;0,08;Avlest
01.07.2024 16:00;01.07.2024 17:00;0,09;Avlest
01.07.2024 17:00;01.07.2024 18:00;0,6;Avlest
01.07.2024 18:00;01.07.2024 19:00;0,284;Avlest
01.07.2024 19:00;01.07.2024 20:00;0,266;Avlest
01.07.2024 20:00;01.07.2024 21:00;0,313;Avlest
01.07.2024 21:00;01.07.2024 22:00;0,162;Avlest
01.07.2024 22:00;01.07.2024 23:00;0,109;Avlest
01.07.2024 23:00;02.07.2024 00:00;0,452;Avlest
02.07.2024 00:00;02.07.2024 01:00;0,092;Avlest
02.07.2024 01:00;02.07.2024 02:00;0,077;Avlest
02.07.2024 02:00;02.07.2024 03:00;0,075;Avlest
02.07.2024 03:00;02.07.2024 04:00;0,081;Avlest
02.07.2024 04:00;02.07.2024 05:00;0,092;Avlest
02.07.2024 05:00;02.07.2024 06:00;0,078;Avlest
02.07.2024 06:00;02.07.2024 07:00;0,082;Avlest
02.07.2024 07:00;02.07.2024 08:00;0,501;Avlest
02.07.2024 08:00;02.07.2024 09:00;0,114;Avlest
02.07.2024 09:00;02.07.2024 10:00;0,076;Avlest
02.07.2024 10:00;02.07.2024 11:00;0,093;Avlest
02.07.2024 11:00;02.07.2024 12:00;0,086;Avlest
02.07.2024 12:00;02.07.2024 13:00;0,073;Avlest
02.07.2024 13:00;02.07.2024 14:00;0,075;Avlest
02.07.2024 14:00;02.07.2024 15:00;0,092;Avlest
02.07.2024 15:00;02.07.2024 16:00;0,469;Avlest
02.07.2024 16:00;02.07.2024 17:00;0,073;Avlest
02.07.2024 17:00;02.07.2024 18:00;0,077;Avlest
02.07.2024 18:00;02.07.2024 19:00;0,404;Avlest
02.07.2024 19:00;02.07.2024 20:00;0,527;Avlest
02.07.2024 20:00;02.07.2024 21:00;0,2;Avlest
02.07.2024 21:00;02.07.2024 22:00;0,238;Avlest
02.07.2024 22:00;02.07.2024 23:00;0,397;Avlest
02.07.2024 23:00;03.07.2024 00:00;0,16;Avlest
03.07.2024 00:00;03.07.2024 01:00;0,085;Avlest
03.07.2024 01:00;03.07.2024 02:00;0,093;Avlest
03.07.2024 02:00;03.07.2024 03:00;0,076;Avlest
03.07.2024 03:00;03.07.2024 04:00;0,074;Avlest
03.07.2024 04:00;03.07.2024 05:00;0,44;Avlest
03.07.2024 05:00;03.07.2024 06:00;0,091;Avlest
03.07.2024 06:00;03.07.2024 07:00;0,088;Avlest
03.07.2024 07:00;03.07.2024 08:00;0,072;Avlest
03.07.2024 08:00;03.07.2024 09:00;0,083;Avlest
03.07.2024 09:00;03.07.2024 10:00;0,089;Avlest
03.07.2024 10:00;03.07.2024 11:00;0,464;Avlest
03.07.2024 11:00;03.07.2024 12:00;0,136;Avlest
03.07.2024 12:00;03.07.2024 13:00;0,086;Avlest
03.07.2024 13:00;03.07.2024 14:00;0,074;Avlest
03.07.2024 14:00;03.07.2024 15:00;0,079;Avlest
03.07.2024 15:00;03.07.2024 16:00;0,091;Avlest
03.07.2024 16:00;03.07.2024 17:00;0,079;Avlest
03.07.2024 17:00;03.07.2024 18:00;0,072;Avlest
03.07.2024 18:00;03.07.2024 19:00;0,457;Avlest
03.07.2024 19:00;03.07.2024 20:00;0,091;Avlest
03.07.2024 20:00;03.07.2024 21:00;0,133;Avlest
03.07.2024 21:00;03.07.2024 22:00;0,21;Avlest
03.07.2024 22:00;03.07.2024 23:00;0,101;Avlest
03.07.2024 23:00;04.07.2024 00:00;0,092;Avlest
04.07.2024 00:00;04.07.2024 01:00;0,104;Avlest
