Fra;Til;KWH 60 Forbruk;Kvalitet
01.04.2025 00:00;01.04.2025 01:00;1,148;Avlest
01.04.2025 01:00;01.04.2025 02:00;0,88;Avlest
01.04.2025 02:00;01.04.2025 03:00;0,825;Avlest
01.04.2025 03:00;01.04.2025 04:00;1,125;Avlest
01.04.2025 04:00;01.04.2025 05:00;0,854;Avlest
01.04.2025 05:00;01.04.2025 06:00;0,868;Avlest
01.04.2025 06:00;01.04.2025 07:00;0,794;Avlest
01.04.2025 07:00;01.04.2025 08:00;1,184;Avlest
01.04.2025 08:00;01.04.2025 09:00;0,802;Avlest
01.04.2025 09:00;01.04.2025 10:00;0,95;Avlest
01.04.2025 10:00;01.04.2025 11:00;0,903;Avlest
01.04.2025 11:00;01.04.2025 12:00;0,772;Avlest
01.04.2025 12:00;01.04.2025 13:00;0,683;Avlest
01.04.2025 13:00;01.04.2025 14:00;1,105;Avlest
01.04.2025 14:00;01.04.2025 15:00;0,818;Avlest
01.04.2025 15:00;01.04.2025 16:00;0,678;Avlest
01.04.2025 16:00;01.04.2025 17:00;0,632;Avlest
01.04.2025 17:00;01.04.2025 18:00;0,504;Avlest
01.04.2025 18:00;01.04.2025 19:00;0,595;Avlest
01.04.2025 19:00;01.04.2025 20:00;0,967;Avlest
01.04.2025 20:00;01.04.2025 21:00;0,775;Avlest
01.04.2025 21:00;01.04.2025 22:00;0,865;Avlest
01.04.2025 22:00;01.04.2025 23:00;0,891;Avlest
01.04.2025 23:00;02.04.2025 00:00;0,886;Avlest
02.04.2025 00:00;02.04.2025 01:00;0,743;Avlest
02.04.2025 01:00;02.04.2025 02:00;1,136;Avlest
02.04.2025 02:00;02.04.2025 03:00;0,853;Avlest
02.04.2025 03:00;02.04.2025 04:00;0,886;Avlest
02.04.2025 04:00;02.04.2025 05:00;0,877;Avlest
02.04.2025 05:00;02.04.2025 06:00;0,867;Avlest
02.04.2025 06:00;02.04.2025 07:00;0,806;Avlest
02.04.2025 07:00;02.04.2025 08:00;0,865;Avlest
02.04.2025 08:00;02.04.2025 09:00;1,24;Avlest
02.04.2025 09:00;02.04.2025 10:00;0,82;Avlest
02.04.2025 10:00;02.04.2025 11:00;0,824;Avlest
02.04.2025 11:00;02.04.2025 12:00;0,802;Avlest
02.04.2025 12:00;02.04.2025 13:00;0,841;Avlest
02.04.2025 13:00;02.04.2025 14:00;0,823;Avlest
02.04.2025 14:00;02.04.2025 15:00;0,63;Avlest
02.04.2025 15:00;02.04.2025 16:00;0,748;Avlest
02.04.2025 16:00;02.04.2025 17:00;0,795;Avlest
02.04.2025 17:00;02.04.2025 18:00;0,504;Avlest
02.04.2025 18:00;02.04.2025 19:00;0,408;Avlest
02.04.2025 19:00;02.04.2025 20:00;0,568;Avlest
02.04.2025 20:00;02.04.2025 21:00;0,615;Avlest
02.04.2025 21:00;02.04.2025 22:00;0,596;Avlest
02.04.2025 22:00;02.04.2025 23:00;1,131;Avlest
02.04.2025 23:00;03.04.2025 00:00;0,74;Avlest
03.04.2025 00:00;03.04.2025 01:00;0,846;Avlest
03.04.2025 01:00;03.04.2025 02:00;0,776;Avlest
03.04.2025 02:00;03.04.2025 03:00;0,804;Avlest
03.04.2025 03:00;03.04.2025 04:00;0,822;Avlest
03.04.2025 04:00;03.04.2025 05:00;0,831;Avlest
03.04.2025 05:00;03.04.2025 06:00;0,817;Avlest
03.04.2025 06:00;03.04.2025 07:00;1,133;Avlest
03.04.2025 07:00;03.04.2025 08:00;0,789;Avlest
03.04.2025 08:00;03.04.2025 09:00;0,786;Avlest
03.04.2025 09:00;03.04.2025 10:00;0,814;Avlest
03.04.2025 10:00;03.04.2025 11:00;0,788;Avlest
03.04.2025 11:00;03.04.2025 12:00;0,707;Avlest
