Fra;Til;KWH 60 Forbruk;Kvalitet
01.09.2024 00:00;01.09.2024 01:00;0,081;Avlest
01.09.2024 01:00;01.09.2024 02:00;0,095;Avlest
01.09.2024 02:00;01.09.2024 03:00;0,094;Avlest
01.09.2024 03:00;01.09.2024 04:00;0,081;Avlest
01.09.2024 04:00;01.09.2024 05:00;0,081;Avlest
01.09.2024 05:00;01.09.2024 06:00;0,096;Avlest
01.09.2024 06:00;01.09.2024 07:00;0,093;Avlest
01.09.2024 07:00;01.09.2024 08:00;0,475;Avlest
01.09.2024 08:00;01.09.2024 09:00;0,221;Avlest
01.09.2024 09:00;01.09.2024 10:00;0,261;Avlest
01.09.2024 10:00;01.09.2024 11:00;0,292;Avlest
01.09.2024 11:00;01.09.2024 12:00;0,597;Avlest
01.09.2024 12:00;01.09.2024 13:00;0,129;Avlest
01.09.2024 13:00;01.09.2024 14:00;0,091;Avlest
01.09.2024 14:00;01.09.2024 15:00;0,093;Avlest
01.09.2024 15:00;01.09.2024 16:00;0,077;Avlest
01.09.2024 16:00;01.09.2024 17:00;0,251;Avlest
01.09.2024 17:00;01.09.2024 18:00;0,244;Avlest
01.09.2024 18:00;01.09.2024 19:00;0,092;Avlest
01.09.2024 19:00;01.09.2024 20:00;0,079;Avlest
01.09.2024 20:00;01.09.2024 21:00;0,528;Avlest
01.09.2024 21:00;01.09.2024 22:00;1,621;Avlest
01.09.2024 22:00;01.09.2024 23:00;0,148;Avlest
01.09.2024 23:00;02.09.2024 00:00;0,097;Avlest
02.09.2024 00:00;02.09.2024 01:00;0,095;Avlest
02.09.2024 01:00;02.09.2024 02:00;0,408;Avlest
02.09.2024 02:00;02.09.2024 03:00;0,074;Avlest
02.09.2024 03:00;02.09.2024 04:00;0,079;Avlest
02.09.2024 04:00;02.09.2024 05:00;0,092;Avlest
02.09.2024 05:00;02.09.2024 06:00;0,405;Avlest
02.09.2024 06:00;02.09.2024 07:00;0,083;Avlest
02.09.2024 07:00;02.09.2024 08:00;0,08;Avlest
02.09.2024 08:00;02.09.2024 09:00;0,09;Avlest
02.09.2024 09:00;02.09.2024 10:00;0,077;Avlest
02.09.2024 10:00;02.09.2024 11:00;0,412;Avlest
02.09.2024 11:00;02.09.2024 12:00;0,079;Avlest
02.09.2024 12:00;02.09.2024 13:00;0,09;Avlest
02.09.2024 13:00;02.09.2024 14:00;0,078;Avlest
02.09.2024 14:00;02.09.2024 15:00;0,072;Avlest
02.09.2024 15:00;02.09.2024 16:00;0,079;Avlest
02.09.2024 16:00;02.09.2024 17:00;0,433;Avlest
02.09.2024 17:00;02.09.2024 18:00;0,077;Avlest
02.09.2024 18:00;02.09.2024 19:00;0,1;Avlest
02.09.2024 19:00;02.09.2024 20:00;0,332;Avlest
02.09.2024 20:00;02.09.2024 21:00;0,219;Avlest
02.09.2024 21:00;02.09.2024 22:00;0,507;Avlest
02.09.2024 22:00;02.09.2024 23:00;0,074;Avlest
02.09.2024 23:00;03.09.2024 00:00;0,09;Avlest
03.09.2024 00:00;03.09.2024 01:00;0,086;Avlest
03.09.2024 01:00;03.09.2024 02:00;0,073;Avlest
03.09.2024 02:00;03.09.2024 03:00;0,073;Avlest
03.09.2024 03:00;03.09.2024 04:00;0,44;Avlest
03.09.2024 04:00;03.09.2024 05:00;0,084;Avlest
03.09.2024 05:00;03.09.2024 06:00;0,072;Avlest
03.09.2024 06:00;03.09.2024 07:00;0,08;Avlest
03.09.2024 07:00;03.09.2024 08:00;0,09;Avlest
03.09.2024 08:00;03.09.2024 09:00;0,08;Avlest
