Fra;Til;KWH 60 Forbruk;Kvalitet
01.02.2024 00:00;01.02.2024 01:00;1,66;Avlest
01.02.2024 01:00;01.02.2024 02:00;10,13;Avlest
01.02.2024 02:00;01.02.2024 03:00;10,72;Avlest
01.02.2024 03:00;01.02.2024 04:00;4,19;Avlest
01.02.2024 04:00;01.02.2024 05:00;2,91;Avlest
01.02.2024 05:00;01.02.2024 06:00;2,82;Avlest
01.02.2024 06:00;01.02.2024 07:00;3,7;Avlest
01.02.2024 07:00;01.02.2024 08:00;4,5;Avlest
01.02.2024 08:00;01.02.2024 09:00;1,99;Avlest
01.02.2024 09:00;01.02.2024 10:00;1,19;Avlest
01.02.2024 10:00;01.02.2024 11:00;0;Avlest
01.02.2024 11:00;01.02.2024 12:00;0;Avlest
01.02.2024 12:00;01.02.2024 13:00;0,01;Avlest
01.02.2024 13:00;01.02.2024 14:00;0;Avlest
01.02.2024 14:00;01.02.2024 15:00;0,01;Avlest
01.02.2024 15:00;01.02.2024 16:00;0,36;Avlest
01.02.2024 16:00;01.02.2024 17:00;2,06;Avlest
01.02.2024 17:00;01.02.2024 18:00;3,43;Avlest
01.02.2024 18:00;01.02.2024 19:00;2,45;Avlest
01.02.2024 19:00;01.02.2024 20:00;4,09;Avlest
01.02.2024 20:00;01.02.2024 21:00;3,76;Avlest
01.02.2024 21:00;01.02.2024 22:00;2,56;Avlest
01.02.2024 22:00;01.02.2024 23:00;1,91;Avlest
01.02.2024 23:00;02.02.2024 00:00;1,85;Avlest
02.02.2024 00:00;02.02.2024 01:00;1,78;Avlest
02.02.2024 01:00;02.02.2024 02:00;1,85;Avlest
02.02.2024 02:00;02.02.2024 03:00;3,91;Avlest
02.02.2024 03:00;02.02.2024 04:00;9,8;Avlest
02.02.2024 04:00;02.02.2024 05:00;9,57;Avlest
02.02.2024 05:00;02.02.2024 06:00;9,59;Avlest
02.02.2024 06:00;02.02.2024 07:00;3,46;Avlest
02.02.2024 07:00;02.02.2024 08:00;3,83;Avlest
02.02.2024 08:00;02.02.2024 09:00;3,02;Avlest
02.02.2024 09:00;02.02.2024 10:00;1,63;Avlest
02.02.2024 10:00;02.02.2024 11:00;1,68;Avlest
02.02.2024 11:00;02.02.2024 12:00;1,18;Avlest
02.02.2024 12:00;02.02.2024 13:00;0,31;Avlest
02.02.2024 13:00;02.02.2024 14:00;0,09;Avlest
02.02.2024 14:00;02.02.2024 15:00;0,78;Avlest
02.02.2024 15:00;02.02.2024 16:00;1,11;Avlest
02.02.2024 16:00;02.02.2024 17:00;1,14;Avlest
02.02.2024 17:00;02.02.2024 18:00;2,44;Avlest
02.02.2024 18:00;02.02.2024 19:00;4,21;Avlest
02.02.2024 19:00;02.02.2024 20:00;4,24;Avlest
02.02.2024 20:00;02.02.2024 21:00;4,45;Avlest
02.02.2024 21:00;02.02.2024 22:00;4,12;Avlest
02.02.2024 22:00;02.02.2024 23:00;4,05;Avlest
02.02.2024 23:00;03.02.2024 00:00;3,75;Avlest
03.02.2024 00:00;03.02.2024 01:00;3,89;Avlest
03.02.2024 01:00;03.02.2024 02:00;3,26;Avlest
03.02.2024 02:00;03.02.2024 03:00;2,27;Avlest
03.02.2024 03:00;03.02.2024 04:00;1,86;Avlest
03.02.2024 04:00;03.02.2024 05:00;9,64;Avlest
03.02.2024 05:00;03.02.2024 06:00;9,67;Avlest
03.02.2024 06:00;03.02.2024 07:00;8,75;Avlest
03.02.2024 07:00;03.02.2024 08:00;2,25;Avlest
03.02.2024 08:00;03.02.2024 09:00;4,28;Avlest
03.02.2024 09:00;03.02.2024 10:00;1,34;Avlest
03.02.2024 10:00;03.02.2024 11:00;0,55;Avlest
03.02.2024 11:00;03.02.2024 12:00;0,22;Avlest
03.02.2024 12:00;03.02.2024 13:00;0,74;Avlest
03.02.2024 13:00;03.02.2024 14:00;0,19;Avlest
03.02.2024 14:00;03.02.2024 15:00;0,76;Avlest
03.02.2024 15:00;03.02.2024 16:00;1,13;Avlest
03.02.2024 16:00;03.02.2024 17:00;1,54;Avlest
03.02.2024 17:00;03.02.2024 18:00;2,32;Avlest
03.02.2024 18:00;03.02.2024 19:00;1,88;Avlest
03.02.2024 19:00;03.02.2024 20:00;2,22;Avlest
