Fra;Til;KWH 60 Forbruk;Kvalitet
01.04.2023 00:00;01.04.2023 01:00;2,05;Avlest
01.04.2023 01:00;01.04.2023 02:00;2,28;Avlest
01.04.2023 02:00;01.04.2023 03:00;2,42;Avlest
01.04.2023 03:00;01.04.2023 04:00;2,76;Avlest
01.04.2023 04:00;01.04.2023 05:00;3,44;Avlest
01.04.2023 05:00;01.04.2023 06:00;7,43;Avlest
01.04.2023 06:00;01.04.2023 07:00;7,7;Avlest
01.04.2023 07:00;01.04.2023 08:00;7,6;Avlest
01.04.2023 08:00;01.04.2023 09:00;3,8;Avlest
01.04.2023 09:00;01.04.2023 10:00;1,58;Avlest
01.04.2023 10:00;01.04.2023 11:00;0,84;Avlest
01.04.2023 11:00;01.04.2023 12:00;0;Avlest
01.04.2023 12:00;01.04.2023 13:00;0;Avlest
01.04.2023 13:00;01.04.2023 14:00;0;Avlest
01.04.2023 14:00;01.04.2023 15:00;0;Avlest
01.04.2023 15:00;01.04.2023 16:00;0;Avlest
01.04.2023 16:00;01.04.2023 17:00;0;Avlest
01.04.2023 17:00;01.04.2023 18:00;0,08;Avlest
01.04.2023 18:00;01.04.2023 19:00;1,39;Avlest
01.04.2023 19:00;01.04.2023 20:00;1,96;Avlest
01.04.2023 20:00;01.04.2023 21:00;2,39;Avlest
01.04.2023 21:00;01.04.2023 22:00;2,02;Avlest
01.04.2023 22:00;01.04.2023 23:00;2,2;Avlest
01.04.2023 23:00;02.04.2023 00:00;2,55;Avlest
02.04.2023 00:00;02.04.2023 01:00;2,83;Avlest
02.04.2023 01:00;02.04.2023 02:00;2,65;Avlest
02.04.2023 02:00;02.04.2023 03:00;7,72;Avlest
02.04.2023 03:00;02.04.2023 04:00;7,89;Avlest
02.04.2023 04:00;02.04.2023 05:00;3,97;Avlest
02.04.2023 05:00;02.04.2023 06:00;2,55;Avlest
02.04.2023 06:00;02.04.2023 07:00;2,87;Avlest
02.04.2023 07:00;02.04.2023 08:00;2,9;Avlest
02.04.2023 08:00;02.04.2023 09:00;0,35;Avlest
02.04.2023 09:00;02.04.2023 10:00;0,05;Avlest
02.04.2023 10:00;02.04.2023 11:00;0;Avlest
02.04.2023 11:00;02.04.2023 12:00;0;Avlest
02.04.2023 12:00;02.04.2023 13:00;0;Avlest
02.04.2023 13:00;02.04.2023 14:00;0;Avlest
02.04.2023 14:00;02.04.2023 15:00;0;Avlest
02.04.2023 15:00;02.04.2023 16:00;0;Avlest
02.04.2023 16:00;02.04.2023 17:00;0;Avlest
02.04.2023 17:00;02.04.2023 18:00;0;Avlest
02.04.2023 18:00;02.04.2023 19:00;1,36;Avlest
02.04.2023 19:00;02.04.2023 20:00;3,11;Avlest
02.04.2023 20:00;02.04.2023 21:00;2,86;Avlest
02.04.2023 21:00;02.04.2023 22:00;2,03;Avlest
02.04.2023 22:00;02.04.2023 23:00;2,39;Avlest
02.04.2023 23:00;03.04.2023 00:00;5,37;Avlest
03.04.2023 00:00;03.04.2023 01:00;8,17;Avlest
03.04.2023 01:00;03.04.2023 02:00;8,4;Avlest
03.04.2023 02:00;03.04.2023 03:00;8,67;Avlest
03.04.2023 03:00;03.04.2023 04:00;8,42;Avlest
03.04.2023 04:00;03.04.2023 05:00;4,05;Avlest
03.04.2023 05:00;03.04.2023 06:00;3,46;Avlest
03.04.2023 06:00;03.04.2023 07:00;3,42;Avlest
03.04.2023 07:00;03.04.2023 08:00;2,95;Avlest
03.04.2023 08:00;03.04.2023 09:00;0,24;Avlest
03.04.2023 09:00;03.04.2023 10:00;0;Avlest
03.04.2023 10:00;03.04.2023 11:00;0;Avlest
03.04.2023 11:00;03.04.2023 12:00;0;Avlest
03.04.2023 12:00;03.04.2023 13:00;0;Avlest
03.04.2023 13:00;03.04.2023 14:00;0;Avlest
03.04.2023 14:00;03.04.2023 15:00;0;Avlest
03.04.2023 15:00;03.04.2023 16:00;0;Avlest
03.04.2023 16:00;03.04.2023 17:00;0;Avlest
03.04.2023 17:00;03.04.2023 18:00;0;Avlest
03.04.2023 18:00;03.04.2023 19:00;0,23;Avlest
03.04.2023 19:00;03.04.2023 20:00;0,72;Avlest
03.04.2023 20:00;03.04.2023 21:00;1,59;Avlest
03.04.2023 21:00;03.04.2023 22:00;1,16;Avlest
03.04.2023 22:00;03.04.2023 23:00;1,54;Avlest
03.04.2023 23:00;04.04.2023 00:00;1,61;Avlest
04.04.2023 00:00;04.04.2023 01:00;2,03;Avlest
04.04.2023 01:00;04.04.2023 02:00;2,69;Avlest
04.04.2023 02:00;04.04.2023 03:00;2,83;Avlest
04.04.2023 03:00;04.04.2023 04:00;2,6;Avlest
04.04.2023 04:00;04.04.2023 05:00;2,99;Avlest
04.04.2023 05:00;04.04.2023 06:00;2,36;Avlest
04.04.2023 06:00;04.04.2023 07:00;2,08;Avlest
04.04.2023 07:00;04.04.2023 08:00;1,73;Avlest
04.04.2023 08:00;04.04.2023 09:00;0,73;Avlest
04.04.2023 09:00;04.04.2023 10:00;0;Avlest
04.04.2023 10:00;04.04.2023 11:00;0;Avlest
04.04.2023 11:00;04.04.2023 12:00;0;Avlest
04.04.2023 12:00;04.04.2023 13:00;0;Avlest
04.04.2023 13:00;04.04.2023 14:00;0;Avlest
04.04.2023 14:00;04.04.2023 15:00;0;Avlest
04.04.2023 15:00;04.04.2023 16:00;0;Avlest
04.04.2023 16:00;04.04.2023 17:00;0;Avlest
04.04.2023 17:00;04.04.2023 18:00;0;Avlest
04.04.2023 18:00;04.04.2023 19:00;0,23;Avlest
04.04.2023 19:00;04.04.2023 20:00;0,8;Avlest
04.04.2023 20:00;04.04.2023 21:00;1,47;Avlest
04.04.2023 21:00;04.04.2023 22:00;1,68;Avlest
04.04.2023 22:00;04.04.2023 23:00;1,82;Avlest
04.04.2023 23:00;05.04.2023 00:00;1,99;Avlest
05.04.2023 00:00;05.04.2023 01:00;2,91;Avlest
05.04.2023 01:00;05.04.2023 02:00;2,78;Avlest
05.04.2023 02:00;05.04.2023 03:00;2,69;Avlest
05.04.2023 03:00;05.04.2023 04:00;2,57;Avlest
05.04.2023 04:00;05.04.2023 05:00;2,51;Avlest
05.04.2023 05:00;05.04.2023 06:00;2,47;Avlest
05.04.2023 06:00;05.04.2023 07:00;2,13;Avlest
05.04.2023 07:00;05.04.2023 08:00;1,14;Avlest
05.04.2023 08:00;05.04.2023 09:00;0;Avlest
05.04.2023 09:00;05.04.2023 10:00;0;Avlest
05.04.2023 10:00;05.04.2023 11:00;0;Avlest
05.04.2023 11:00;05.04.2023 12:00;0;Avlest
