Fra;Til;KWH 60 Forbruk;Kvalitet
01.09.2022 00:00;01.09.2022 01:00;1,36;Avlest
01.09.2022 01:00;01.09.2022 02:00;0,8;Avlest
01.09.2022 02:00;01.09.2022 03:00;1,13;Avlest
01.09.2022 03:00;01.09.2022 04:00;1,19;Avlest
01.09.2022 04:00;01.09.2022 05:00;0,74;Avlest
01.09.2022 05:00;01.09.2022 06:00;1,27;Avlest
01.09.2022 06:00;01.09.2022 07:00;2,25;Avlest
01.09.2022 07:00;01.09.2022 08:00;0,24;Avlest
01.09.2022 08:00;01.09.2022 09:00;0;Avlest
01.09.2022 09:00;01.09.2022 10:00;0,04;Avlest
01.09.2022 10:00;01.09.2022 11:00;0;Avlest
01.09.2022 11:00;01.09.2022 12:00;0;Avlest
01.09.2022 12:00;01.09.2022 13:00;0;Avlest
01.09.2022 13:00;01.09.2022 14:00;0;Avlest
01.09.2022 14:00;01.09.2022 15:00;0;Avlest
01.09.2022 15:00;01.09.2022 16:00;0;Avlest
01.09.2022 16:00;01.09.2022 17:00;0;Avlest
01.09.2022 17:00;01.09.2022 18:00;0;Avlest
01.09.2022 18:00;01.09.2022 19:00;0;Avlest
01.09.2022 19:00;01.09.2022 20:00;1,23;Avlest
01.09.2022 20:00;01.09.2022 21:00;0,84;Avlest
01.09.2022 21:00;01.09.2022 22:00;10,37;Avlest
01.09.2022 22:00;01.09.2022 23:00;11,65;Avlest
01.09.2022 23:00;02.09.2022 00:00;8,88;Avlest
02.09.2022 00:00;02.09.2022 01:00;1;Avlest
02.09.2022 01:00;02.09.2022 02:00;1,96;Avlest
02.09.2022 02:00;02.09.2022 03:00;0,77;Avlest
02.09.2022 03:00;02.09.2022 04:00;1,17;Avlest
02.09.2022 04:00;02.09.2022 05:00;0,95;Avlest
02.09.2022 05:00;02.09.2022 06:00;1,09;Avlest
02.09.2022 06:00;02.09.2022 07:00;1,36;Avlest
02.09.2022 07:00;02.09.2022 08:00;0,39;Avlest
02.09.2022 08:00;02.09.2022 09:00;0,01;Avlest
02.09.2022 09:00;02.09.2022 10:00;0;Avlest
02.09.2022 10:00;02.09.2022 11:00;0;Avlest
02.09.2022 11:00;02.09.2022 12:00;0;Avlest
02.09.2022 12:00;02.09.2022 13:00;0;Avlest
02.09.2022 13:00;02.09.2022 14:00;0;Avlest
02.09.2022 14:00;02.09.2022 15:00;0;Avlest
02.09.2022 15:00;02.09.2022 16:00;0;Avlest
02.09.2022 16:00;02.09.2022 17:00;0;Avlest
02.09.2022 17:00;02.09.2022 18:00;0;Avlest
02.09.2022 18:00;02.09.2022 19:00;0;Avlest
02.09.2022 19:00;02.09.2022 20:00;1,74;Avlest
02.09.2022 20:00;02.09.2022 21:00;2,47;Avlest
02.09.2022 21:00;02.09.2022 22:00;1,86;Avlest
02.09.2022 22:00;02.09.2022 23:00;1,68;Avlest
02.09.2022 23:00;03.09.2022 00:00;1,01;Avlest
03.09.2022 00:00;03.09.2022 01:00;1,62;Avlest
03.09.2022 01:00;03.09.2022 02:00;0,72;Avlest
03.09.2022 02:00;03.09.2022 03:00;1,22;Avlest
03.09.2022 03:00;03.09.2022 04:00;1,21;Avlest
03.09.2022 04:00;03.09.2022 05:00;1,13;Avlest
