Fra;Til;KWH 60 Forbruk;Kvalitet
01.05.2024 00:00;01.05.2024 01:00;10,36;Avlest
01.05.2024 01:00;01.05.2024 02:00;9,77;Avlest
01.05.2024 02:00;01.05.2024 03:00;9,2;Avlest
01.05.2024 03:00;01.05.2024 04:00;9,26;Avlest
01.05.2024 04:00;01.05.2024 05:00;9,27;Avlest
01.05.2024 05:00;01.05.2024 06:00;9,3;Avlest
01.05.2024 06:00;01.05.2024 07:00;6,86;Avlest
01.05.2024 07:00;01.05.2024 08:00;1;Avlest
01.05.2024 08:00;01.05.2024 09:00;0;Avlest
01.05.2024 09:00;01.05.2024 10:00;0;Avlest
01.05.2024 10:00;01.05.2024 11:00;0;Avlest
01.05.2024 11:00;01.05.2024 12:00;0;Avlest
01.05.2024 12:00;01.05.2024 13:00;0;Avlest
01.05.2024 13:00;01.05.2024 14:00;0;Avlest
01.05.2024 14:00;01.05.2024 15:00;0;Avlest
01.05.2024 15:00;01.05.2024 16:00;0;Avlest
01.05.2024 16:00;01.05.2024 17:00;0,01;Avlest
01.05.2024 17:00;01.05.2024 18:00;0;Avlest
01.05.2024 18:00;01.05.2024 19:00;0;Avlest
01.05.2024 19:00;01.05.2024 20:00;1,26;Avlest
01.05.2024 20:00;01.05.2024 21:00;1,53;Avlest
01.05.2024 21:00;01.05.2024 22:00;1,36;Avlest
01.05.2024 22:00;01.05.2024 23:00;0,93;Avlest
01.05.2024 23:00;02.05.2024 00:00;1,29;Avlest
02.05.2024 00:00;02.05.2024 01:00;0,86;Avlest
02.05.2024 01:00;02.05.2024 02:00;1,25;Avlest
02.05.2024 02:00;02.05.2024 03:00;1,35;Avlest
02.05.2024 03:00;02.05.2024 04:00;1,31;Avlest
02.05.2024 04:00;02.05.2024 05:00;1,35;Avlest
02.05.2024 05:00;02.05.2024 06:00;1,35;Avlest
02.05.2024 06:00;02.05.2024 07:00;1,23;Avlest
02.05.2024 07:00;02.05.2024 08:00;0,13;Avlest
02.05.2024 08:00;02.05.2024 09:00;0;Avlest
02.05.2024 09:00;02.05.2024 10:00;0;Avlest
02.05.2024 10:00;02.05.2024 11:00;0;Avlest
