Fra;Til;KWH 60 Forbruk;Kvalitet
01.05.2023 00:00;01.05.2023 01:00;1,61;Avlest
01.05.2023 01:00;01.05.2023 02:00;1,58;Avlest
01.05.2023 02:00;01.05.2023 03:00;1,63;Avlest
01.05.2023 03:00;01.05.2023 04:00;1,85;Avlest
01.05.2023 04:00;01.05.2023 05:00;1,68;Avlest
01.05.2023 05:00;01.05.2023 06:00;1,72;Avlest
01.05.2023 06:00;01.05.2023 07:00;1,59;Avlest
01.05.2023 07:00;01.05.2023 08:00;1,75;Avlest
01.05.2023 08:00;01.05.2023 09:00;1,45;Avlest
01.05.2023 09:00;01.05.2023 10:00;2,71;Avlest
01.05.2023 10:00;01.05.2023 11:00;2,86;Avlest
01.05.2023 11:00;01.05.2023 12:00;2,5;Avlest
01.05.2023 12:00;01.05.2023 13:00;0,86;Avlest
01.05.2023 13:00;01.05.2023 14:00;0,79;Avlest
01.05.2023 14:00;01.05.2023 15:00;0,63;Avlest
01.05.2023 15:00;01.05.2023 16:00;0,86;Avlest
01.05.2023 16:00;01.05.2023 17:00;0;Avlest
01.05.2023 17:00;01.05.2023 18:00;0,28;Avlest
01.05.2023 18:00;01.05.2023 19:00;0,15;Avlest
01.05.2023 19:00;01.05.2023 20:00;0,51;Avlest
01.05.2023 20:00;01.05.2023 21:00;1,23;Avlest
01.05.2023 21:00;01.05.2023 22:00;2,49;Avlest
01.05.2023 22:00;01.05.2023 23:00;2,48;Avlest
01.05.2023 23:00;02.05.2023 00:00;1,69;Avlest
02.05.2023 00:00;02.05.2023 01:00;1,33;Avlest
02.05.2023 01:00;02.05.2023 02:00;1,99;Avlest
02.05.2023 02:00;02.05.2023 03:00;1,79;Avlest
02.05.2023 03:00;02.05.2023 04:00;2,37;Avlest
02.05.2023 04:00;02.05.2023 05:00;7,58;Avlest
02.05.2023 05:00;02.05.2023 06:00;7,54;Avlest
02.05.2023 06:00;02.05.2023 07:00;7,38;Avlest
02.05.2023 07:00;02.05.2023 08:00;4,64;Avlest
02.05.2023 08:00;02.05.2023 09:00;0,44;Avlest
02.05.2023 09:00;02.05.2023 10:00;0;Avlest
02.05.2023 10:00;02.05.2023 11:00;0;Avlest
02.05.2023 11:00;02.05.2023 12:00;0;Avlest
02.05.2023 12:00;02.05.2023 13:00;0,29;Avlest
02.05.2023 13:00;02.05.2023 14:00;0,81;Avlest
02.05.2023 14:00;02.05.2023 15:00;0;Avlest
02.05.2023 15:00;02.05.2023 16:00;0,01;Avlest
02.05.2023 16:00;02.05.2023 17:00;0,08;Avlest
02.05.2023 17:00;02.05.2023 18:00;0,1;Avlest
02.05.2023 18:00;02.05.2023 19:00;0,16;Avlest
02.05.2023 19:00;02.05.2023 20:00;0,58;Avlest
02.05.2023 20:00;02.05.2023 21:00;1,32;Avlest
02.05.2023 21:00;02.05.2023 22:00;1,84;Avlest
02.05.2023 22:00;02.05.2023 23:00;1,83;Avlest
02.05.2023 23:00;03.05.2023 00:00;1,55;Avlest
03.05.2023 00:00;03.05.2023 01:00;1,63;Avlest
03.05.2023 01:00;03.05.2023 02:00;1,76;Avlest
03.05.2023 02:00;03.05.2023 03:00;1,83;Avlest
03.05.2023 03:00;03.05.2023 04:00;1,77;Avlest
03.05.2023 04:00;03.05.2023 05:00;1,82;Avlest
03.05.2023 05:00;03.05.2023 06:00;2,25;Avlest
03.05.2023 06:00;03.05.2023 07:00;2,97;Avlest
03.05.2023 07:00;03.05.2023 08:00;0,14;Avlest
03.05.2023 08:00;03.05.2023 09:00;0;Avlest
03.05.2023 09:00;03.05.2023 10:00;0;Avlest
03.05.2023 10:00;03.05.2023 11:00;0;Avlest
03.05.2023 11:00;03.05.2023 12:00;0;Avlest
03.05.2023 12:00;03.05.2023 13:00;0;Avlest
03.05.2023 13:00;03.05.2023 14:00;0;Avlest
03.05.2023 14:00;03.05.2023 15:00;0;Avlest
03.05.2023 15:00;03.05.2023 16:00;0;Avlest
03.05.2023 16:00;03.05.2023 17:00;0;Avlest
03.05.2023 17:00;03.05.2023 18:00;0,02;Avlest
03.05.2023 18:00;03.05.2023 19:00;1,03;Avlest
03.05.2023 19:00;03.05.2023 20:00;0,53;Avlest
03.05.2023 20:00;03.05.2023 21:00;1,21;Avlest
03.05.2023 21:00;03.05.2023 22:00;1,7;Avlest
03.05.2023 22:00;03.05.2023 23:00;2,3;Avlest
03.05.2023 23:00;04.05.2023 00:00;2,21;Avlest
04.05.2023 00:00;04.05.2023 01:00;2,97;Avlest
04.05.2023 01:00;04.05.2023 02:00;6,73;Avlest
04.05.2023 02:00;04.05.2023 03:00;7,2;Avlest
04.05.2023 03:00;04.05.2023 04:00;7,26;Avlest
04.05.2023 04:00;04.05.2023 05:00;7,34;Avlest
04.05.2023 05:00;04.05.2023 06:00;1,61;Avlest
04.05.2023 06:00;04.05.2023 07:00;2,47;Avlest
04.05.2023 07:00;04.05.2023 08:00;0,53;Avlest
04.05.2023 08:00;04.05.2023 09:00;0;Avlest
04.05.2023 09:00;04.05.2023 10:00;0;Avlest
04.05.2023 10:00;04.05.2023 11:00;0;Avlest
04.05.2023 11:00;04.05.2023 12:00;0,01;Avlest
04.05.2023 12:00;04.05.2023 13:00;0;Avlest
04.05.2023 13:00;04.05.2023 14:00;0;Avlest
04.05.2023 14:00;04.05.2023 15:00;0;Avlest
04.05.2023 15:00;04.05.2023 16:00;0;Avlest
04.05.2023 16:00;04.05.2023 17:00;0;Avlest
04.05.2023 17:00;04.05.2023 18:00;0;Avlest
04.05.2023 18:00;04.05.2023 19:00;0,43;Avlest
04.05.2023 19:00;04.05.2023 20:00;0,41;Avlest
04.05.2023 20:00;04.05.2023 21:00;1,14;Avlest
04.05.2023 21:00;04.05.2023 22:00;1,93;Avlest
04.05.2023 22:00;04.05.2023 23:00;2,6;Avlest
04.05.2023 23:00;05.05.2023 00:00;1,85;Avlest
05.05.2023 00:00;05.05.2023 01:00;3,45;Avlest
05.05.2023 01:00;05.05.2023 02:00;7,2;Avlest
05.05.2023 02:00;05.05.2023 03:00;7,41;Avlest
05.05.2023 03:00;05.05.2023 04:00;7,49;Avlest
05.05.2023 04:00;05.05.2023 05:00;6,34;Avlest
05.05.2023 05:00;05.05.2023 06:00;2,2;Avlest
05.05.2023 06:00;05.05.2023 07:00;2,63;Avlest
05.05.2023 07:00;05.05.2023 08:00;2,88;Avlest
05.05.2023 08:00;05.05.2023 09:00;1,67;Avlest
