Fra;Til;KWH 60 Forbruk;Kvalitet
01.06.2023 00:00;01.06.2023 01:00;0,07;Avlest
01.06.2023 01:00;01.06.2023 02:00;0,09;Avlest
01.06.2023 02:00;01.06.2023 03:00;0,66;Avlest
01.06.2023 03:00;01.06.2023 04:00;0,24;Avlest
01.06.2023 04:00;01.06.2023 05:00;0,08;Avlest
01.06.2023 05:00;01.06.2023 06:00;0,06;Avlest
01.06.2023 06:00;01.06.2023 07:00;0,64;Avlest
01.06.2023 07:00;01.06.2023 08:00;0,39;Avlest
01.06.2023 08:00;01.06.2023 09:00;0,08;Avlest
01.06.2023 09:00;01.06.2023 10:00;0,81;Avlest
01.06.2023 10:00;01.06.2023 11:00;0,07;Avlest
01.06.2023 11:00;01.06.2023 12:00;0,08;Avlest
01.06.2023 12:00;01.06.2023 13:00;0,06;Avlest
01.06.2023 13:00;01.06.2023 14:00;0,08;Avlest
01.06.2023 14:00;01.06.2023 15:00;0,79;Avlest
01.06.2023 15:00;01.06.2023 16:00;0,07;Avlest
01.06.2023 16:00;01.06.2023 17:00;0,16;Avlest
01.06.2023 17:00;01.06.2023 18:00;1,96;Avlest
01.06.2023 18:00;01.06.2023 19:00;1,78;Avlest
01.06.2023 19:00;01.06.2023 20:00;1,97;Avlest
01.06.2023 20:00;01.06.2023 21:00;0,09;Avlest
01.06.2023 21:00;01.06.2023 22:00;1,07;Avlest
01.06.2023 22:00;01.06.2023 23:00;0,8;Avlest
01.06.2023 23:00;02.06.2023 00:00;2,04;Avlest
02.06.2023 00:00;02.06.2023 01:00;1,47;Avlest
02.06.2023 01:00;02.06.2023 02:00;0,06;Avlest
02.06.2023 02:00;02.06.2023 03:00;0,07;Avlest
02.06.2023 03:00;02.06.2023 04:00;0,08;Avlest
02.06.2023 04:00;02.06.2023 05:00;0,29;Avlest
02.06.2023 05:00;02.06.2023 06:00;0,59;Avlest
02.06.2023 06:00;02.06.2023 07:00;0,31;Avlest
02.06.2023 07:00;02.06.2023 08:00;1,38;Avlest
02.06.2023 08:00;02.06.2023 09:00;0,08;Avlest
02.06.2023 09:00;02.06.2023 10:00;0,06;Avlest
02.06.2023 10:00;02.06.2023 11:00;0,08;Avlest
02.06.2023 11:00;02.06.2023 12:00;0,07;Avlest
02.06.2023 12:00;02.06.2023 13:00;0,78;Avlest
02.06.2023 13:00;02.06.2023 14:00;0,07;Avlest
02.06.2023 14:00;02.06.2023 15:00;0,07;Avlest
02.06.2023 15:00;02.06.2023 16:00;0,07;Avlest
02.06.2023 16:00;02.06.2023 17:00;0,07;Avlest
02.06.2023 17:00;02.06.2023 18:00;0,34;Avlest
02.06.2023 18:00;02.06.2023 19:00;0,48;Avlest
02.06.2023 19:00;02.06.2023 20:00;0,07;Avlest
02.06.2023 20:00;02.06.2023 21:00;0,08;Avlest
02.06.2023 21:00;02.06.2023 22:00;0,99;Avlest
02.06.2023 22:00;02.06.2023 23:00;1,85;Avlest
02.06.2023 23:00;03.06.2023 00:00;1,72;Avlest
03.06.2023 00:00;03.06.2023 01:00;1,97;Avlest
03.06.2023 01:00;03.06.2023 02:00;0,91;Avlest
