Fra;Til;KWH 60 Forbruk;Kvalitet
01.02.2024 00:00;01.02.2024 01:00;1,53;Avlest
01.02.2024 01:00;01.02.2024 02:00;0,09;Avlest
01.02.2024 02:00;01.02.2024 03:00;0,08;Avlest
01.02.2024 03:00;01.02.2024 04:00;0,09;Avlest
01.02.2024 04:00;01.02.2024 05:00;0,09;Avlest
01.02.2024 05:00;01.02.2024 06:00;0,62;Avlest
01.02.2024 06:00;01.02.2024 07:00;0,1;Avlest
01.02.2024 07:00;01.02.2024 08:00;0,23;Avlest
01.02.2024 08:00;01.02.2024 09:00;1,66;Avlest
01.02.2024 09:00;01.02.2024 10:00;0,08;Avlest
01.02.2024 10:00;01.02.2024 11:00;0,1;Avlest
01.02.2024 11:00;01.02.2024 12:00;0,08;Avlest
01.02.2024 12:00;01.02.2024 13:00;0,8;Avlest
01.02.2024 13:00;01.02.2024 14:00;0,1;Avlest
01.02.2024 14:00;01.02.2024 15:00;0,08;Avlest
01.02.2024 15:00;01.02.2024 16:00;1,38;Avlest
01.02.2024 16:00;01.02.2024 17:00;0,83;Avlest
01.02.2024 17:00;01.02.2024 18:00;1,31;Avlest
01.02.2024 18:00;01.02.2024 19:00;1,23;Avlest
01.02.2024 19:00;01.02.2024 20:00;0,67;Avlest
01.02.2024 20:00;01.02.2024 21:00;2,21;Avlest
01.02.2024 21:00;01.02.2024 22:00;1,58;Avlest
01.02.2024 22:00;01.02.2024 23:00;1,87;Avlest
01.02.2024 23:00;02.02.2024 00:00;2,08;Avlest
02.02.2024 00:00;02.02.2024 01:00;1,29;Avlest
02.02.2024 01:00;02.02.2024 02:00;0,07;Avlest
02.02.2024 02:00;02.02.2024 03:00;0,1;Avlest
02.02.2024 03:00;02.02.2024 04:00;0,08;Avlest
02.02.2024 04:00;02.02.2024 05:00;0,9;Avlest
02.02.2024 05:00;02.02.2024 06:00;0,09;Avlest
02.02.2024 06:00;02.02.2024 07:00;0,08;Avlest
02.02.2024 07:00;02.02.2024 08:00;0,74;Avlest
02.02.2024 08:00;02.02.2024 09:00;1,53;Avlest
02.02.2024 09:00;02.02.2024 10:00;0,83;Avlest
02.02.2024 10:00;02.02.2024 11:00;0,07;Avlest
02.02.2024 11:00;02.02.2024 12:00;0,1;Avlest
